Average_Mass,Sum_Intensity,Number_of_Charge_States,Number_of_Detected_Intervals,Relative_Abundance,Fractional_Abundance,Scan_Range,RT_Range,Apex_RT
19009.007689,18528624.50,11,10,0.5505,0.1392,4810-5256,9.155-10.000,9.355
26246.899954,18442158.25,15,5,0.5480,0.1385,1997-2180,3.805-4.153,4.004
27613.621536,17553833.50,16,7,0.5216,0.1319,1735-2258,3.305-4.302,3.404
25345.020409,17263418.91,13,7,0.5129,0.1297,3861-4070,7.355-7.753,7.505
29011.481669,17221744.50,16,3,0.5117,0.1294,1473-1577,2.806-3.003,2.904
33317.987653,17020363.00,18,6,0.5057,0.1279,2679-2888,5.104-5.502,5.204
29383.550529,16750231.00,16,3,0.4977,0.1258,1499-1603,2.855-3.054,2.954
33037.224228,16705915.88,19,6,0.4964,0.1255,2758-2941,5.254-5.604,5.404
27858.398128,16534244.63,16,5,0.4913,0.1242,1604-1760,3.055-3.353,3.204
29272.212853,16508524.75,16,3,0.4905,0.1240,1473-1577,2.806-3.003,2.904
19029.775042,16473420.94,12,4,0.4895,0.1237,4863-5072,9.256-9.653,9.355
26391.183742,16102586.25,14,8,0.4785,0.1210,1866-2101,3.555-4.002,3.903
27685.957965,15875897.88,13,6,0.4717,0.1193,1735-2180,3.305-4.153,3.554
27268.132048,15433278.03,13,7,0.4586,0.1159,1971-2521,3.755-4.803,3.903
18944.319608,14758735.00,13,4,0.4385,0.1109,4018-4149,7.654-7.904,7.804
28610.279472,14275593.13,16,4,0.4242,0.1072,1552-1682,2.956-3.204,3.104
32807.344934,14013641.00,19,3,0.4164,0.1053,2732-2836,5.205-5.403,5.304
18932.462507,13925766.44,12,3,0.4138,0.1046,4544-4914,8.654-9.353,8.704
20310.060860,13616580.88,13,11,0.4046,0.1023,9801-10114,18.660-19.250,18.850
27395.626330,13533869.44,15,6,0.4021,0.1017,1945-2232,3.705-4.252,3.854
27283.191016,13063552.25,13,4,0.3882,0.0981,1735-1865,3.305-3.553,3.404
20344.472259,12907870.31,12,9,0.3835,0.0970,9827-10088,18.710-19.200,18.900
29125.168503,12445541.50,16,3,0.3698,0.0935,1473-1577,2.806-3.003,2.904
28738.731503,12360857.75,15,3,0.3673,0.0929,1552-1655,2.956-3.152,3.055
27444.171524,12244612.25,14,4,0.3638,0.0920,1788-1918,3.406-3.654,3.554
26950.219188,12098133.38,17,4,0.3595,0.0909,2286-2416,4.355-4.603,4.404
27785.769644,12068866.56,17,5,0.3586,0.0907,1709-1891,3.256-3.603,3.404
